Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1,0,1,1,0,1,0,1931,5,4500
"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,4,0,4,4,0,4,0,1931,6,4499
"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,3,1,2,2,0,2,0,1931,6,4498
"Saarbrucken, Germany",Deutsche Lufthansa,Dornier Merkur,4,2,2,4,2,2,0,1931,6,4497
"Chicago, Illinois",Braniff Airlines,Lockheed Vega,2,0,2,2,0,2,0,1931,7,4496
"Temora, Australia",Australian Aerial Services,Lasco Lascowl,2,0,2,2,0,2,0,1931,7,4495
"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1931,7,4494
"Kurudjevo, Bulgaria",CIDNA,Fokker F-VII,7,5,2,7,5,2,0,1931,7,4493
"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6,4,2,6,4,2,0,1931,8,4492
"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,1,0,1,1,0,1,0,1931,9,4491
"Near Craiova, Oltenia, Romania",CIDNA,Fokker F-VIIb-3m,6,4,2,6,4,2,0,1931,9,4490
"Oakland, California",Pacific Air Transport,Boeing 40,4,3,1,4,3,1,0,1931,9,4489
"Novia Scotia, Canada",Deutsche Lufthansa,Heinkel HE-2,3,0,3,3,0,3,0,1931,10,4488
Brazil,Syndicato Condor,Dornier Wal,3,0,3,3,0,3,0,1931,10,4487
"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5,4,1,5,4,1,0,1931,11,4486
"Sir Lowry's pass, South Africa",Union Airways,De Havilland DH.80,3,2,1,3,2,1,0,1931,11,4485
"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,1,0,1,1,0,1,0,1931,11,4484
"Near Tsinan, China",China National Aviation Corporation,Stinson,3,1,2,3,1,2,0,1931,11,4483
